127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-04-01 12:56:26, GET, /chieti/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-04-01 12:56:34, GET, /admin/default/index, HTTP/1.1, 303, 0.012000
127.0.0.1, 2014-04-01 12:56:34, GET, /admin/default/site, HTTP/1.1, 200, 0.084000
127.0.0.1, 2014-04-01 12:56:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:56:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:56:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:56:38, GET, /admin/default/design/chieti, HTTP/1.1, 200, 0.113000
127.0.0.1, 2014-04-01 12:56:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:56:47, GET, /admin/default/peek/chieti/controllers/default.py, HTTP/1.1, 200, 0.053000
127.0.0.1, 2014-04-01 12:56:47, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:56:51, GET, /admin/default/peek/chieti/views/default/index.html, HTTP/1.1, 200, 0.062000
127.0.0.1, 2014-04-01 12:56:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:56:56, GET, /admin/default/edit/chieti/views/default/index.html, HTTP/1.1, 200, 0.062000
127.0.0.1, 2014-04-01 12:56:56, GET, /admin/default/edit/chieti/views/default/index.html, HTTP/1.1, 200, 0.056000
127.0.0.1, 2014-04-01 12:56:56, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.061000
127.0.0.1, 2014-04-01 12:56:56, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.101000
127.0.0.1, 2014-04-01 12:56:56, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.142000
127.0.0.1, 2014-04-01 12:56:56, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.014000
127.0.0.1, 2014-04-01 12:56:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 12:57:07, GET, /admin/default/edit/chieti/controllers/default.py, HTTP/1.1, 200, 0.093000
127.0.0.1, 2014-04-01 12:57:07, GET, /admin/default/edit/chieti/controllers/default.py, HTTP/1.1, 200, 0.063000
127.0.0.1, 2014-04-01 12:57:07, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.056000
127.0.0.1, 2014-04-01 12:57:07, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.113000
127.0.0.1, 2014-04-01 12:57:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.157000
127.0.0.1, 2014-04-01 12:57:07, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.020000
127.0.0.1, 2014-04-01 12:57:07, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:57:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.088000
127.0.0.1, 2014-04-01 12:57:33, POST, /admin/default/edit/chieti/controllers/default.py, HTTP/1.1, 200, 0.121000
127.0.0.1, 2014-04-01 12:57:46, GET, /chieti/default/index, HTTP/1.1, 200, 0.225000
127.0.0.1, 2014-04-01 12:57:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:57:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.097000
127.0.0.1, 2014-04-01 12:58:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.106000
127.0.0.1, 2014-04-01 12:58:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.082000
127.0.0.1, 2014-04-01 12:58:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.101000
127.0.0.1, 2014-04-01 12:59:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.083000
127.0.0.1, 2014-04-01 12:59:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.075000
127.0.0.1, 2014-04-01 12:59:39, GET, /chieti/default/index, HTTP/1.1, 200, 0.156000
127.0.0.1, 2014-04-01 12:59:39, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-04-01 12:59:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.081000
127.0.0.1, 2014-04-01 13:00:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.089000
127.0.0.1, 2014-04-01 13:00:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.077000
127.0.0.1, 2014-04-01 13:00:43, GET, /chieti/default/index, HTTP/1.1, 500, 1.277000
127.0.0.1, 2014-04-01 13:00:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-04-01 13:00:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.107000
127.0.0.1, 2014-04-01 13:01:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.141000
127.0.0.1, 2014-04-01 13:01:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.036000
127.0.0.1, 2014-04-01 13:01:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.092000
127.0.0.1, 2014-04-01 13:02:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.091000
127.0.0.1, 2014-04-01 13:02:11, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055000
127.0.0.1, 2014-04-01 13:02:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.099000
